id,addressee,delivery_line_1,delivery_line_2,last_line,address_type,raw_address,latitude,longitude
NS_b6f99f06-a,,,,",",fhir_organization,USA,,
NS_43843454-6,,,,",",fhir_organization,USA,,
NS_126d5d38-e,,,,",",fhir_organization,USA,,
NS_380bf416-c,,,,",",fhir_organization,USA,,
NS_9c22d0d3-b,,,,",",fhir_organization,USA,,
NS_878b4524-8,,,,",",fhir_organization,USA,,
NS_22af4bc8-b,,,,",",fhir_organization,USA,,
NS_df55a095-5,,,,",",fhir_organization,USA,,
NS_8417fb6f-8,,,,",",fhir_organization,USA,,
NS_9543d993-b,,,,",",fhir_organization,USA,,
NS_e19bb2d7-7,,,,",",fhir_organization,USA,,
NS_4e3546e3-c,,,,",",fhir_organization,USA,,
NS_d13aff99-3,,,,",",fhir_organization,USA,,
